'sequential', 1, 522.890290
'parallel_1', 1, 45.245497
'parallel_1', 3, 59.373896
'parallel_1', 6, 64.112328
'parallel_1', 12, 59.715072
'parallel_2', 1, 64.308417
'parallel_2', 3, 59.520607
'parallel_2', 6, 64.881943
'parallel_2', 12, 60.102123
'parallel_3', 1, 64.400735
'parallel_3', 3, 60.419365
'parallel_3', 6, 64.950640
'parallel_3', 12, 60.309975
'parallel_4', 1, 64.719053
'parallel_4', 3, 60.326552
'parallel_4', 6, 64.666392
'parallel_4', 12, 60.497431
'parallel_5', 1, 64.960069
'parallel_5', 3, 60.449499
'parallel_5', 6, 64.785784
'parallel_5', 12, 60.148380
'parallel_6', 1, 64.116249
'parallel_6', 3, 60.063787
'parallel_6', 6, 64.331333
'parallel_6', 12, 60.212495
'parallel_7', 1, 64.360763
'parallel_7', 3, 60.276481
'parallel_7', 6, 63.696052
'parallel_7', 12, 59.909399
'parallel_8', 1, 64.558589
'parallel_8', 3, 59.738300
'parallel_8', 6, 64.438075
'parallel_8', 12, 59.946487
'parallel_9', 1, 64.123436
'parallel_9', 3, 59.987361
'parallel_9', 6, 64.521003
'parallel_9', 12, 59.747855
'parallel_10', 1, 63.489519
'parallel_10', 3, 59.936017
'parallel_10', 6, 64.423157
'parallel_10', 12, 59.929436
'parallel_11', 1, 64.457955
'parallel_11', 3, 60.404314
'parallel_11', 6, 64.479184
'parallel_11', 12, 60.402309
'parallel_12', 1, 64.487153
'parallel_12', 3, 59.936047
'parallel_12', 6, 64.895313
'parallel_12', 12, 60.126156
'parallel_13', 1, 64.345228
'parallel_13', 3, 60.413464
'parallel_13', 6, 64.542227
'parallel_13', 12, 60.279202
'parallel_14', 1, 64.161730
'parallel_14', 3, 60.077114
'parallel_14', 6, 64.453470
'parallel_14', 12, 60.391956
'parallel_15', 1, 63.936027
'parallel_15', 3, 60.099122
'parallel_15', 6, 63.898915
'parallel_15', 12, 59.917218
'parallel_16', 1, 64.305679
'parallel_16', 3, 60.081819
'parallel_16', 6, 64.915416
'parallel_16', 12, 60.410302
'parallel_17', 1, 64.711414
'parallel_17', 3, 60.053957
'parallel_17', 6, 65.039139
'parallel_17', 12, 60.130069
